"","codigo","ano","MULHERES_COM_MAIS_3_PARTOS"
"980","231135","2021","6"
"981","231140","2021","73"
"982","231150","2021","4"
"983","231160","2021","17"
"984","231170","2021","18"
"985","231180","2021","22"
"986","231190","2021","7"
"987","231195","2021","9"
"988","231200","2021","24"
"989","231210","2021","11"
"990","231220","2021","19"
"991","231230","2021","46"
"992","231240","2021","39"
"993","231250","2021","2"
"994","231260","2021","3"
"995","231270","2021","8"
"996","231280","2021","4"
"997","231290","2021","66"
"998","231300","2021","8"
"999","231310","2021","4"
"1000","231320","2021","1"
"1001","231325","2021","1"
"1002","231330","2021","19"
"1003","231335","2021","12"
"1004","231340","2021","71"
"1005","231350","2021","38"
"1006","231355","2021","12"
"1007","231360","2021","30"
"1008","231370","2021","4"
"1009","231375","2021","20"
"1010","231380","2021","19"
"1011","231390","2021","2"
"1012","231395","2021","16"
"1013","231400","2021","17"
"1014","231410","2021","56"
"1015","240010","2021","4"
"1016","240020","2021","15"
"1017","240030","2021","7"
"1018","240060","2021","1"
"1019","240070","2021","4"
"1020","240080","2021","2"
"1021","240100","2021","5"
"1022","240110","2021","14"
"1023","240120","2021","13"
"1024","240140","2021","3"
"1025","240145","2021","9"
"1026","240150","2021","3"
"1027","240160","2021","2"
"1028","240165","2021","3"
"1029","240170","2021","5"
"1030","240180","2021","12"
"1031","240185","2021","2"
"1032","240190","2021","4"
"1033","240200","2021","10"
"1034","240210","2021","4"
"1035","240220","2021","30"
"1036","240230","2021","1"
"1037","240240","2021","2"
"1038","240250","2021","3"
"1039","240260","2021","66"
"1040","240270","2021","4"
"1041","240280","2021","3"
"1042","240290","2021","4"
"1043","240300","2021","2"
"1044","240310","2021","8"
"1045","240325","2021","91"
"1046","240330","2021","1"
"1047","240340","2021","1"
"1048","240350","2021","6"
"1049","240360","2021","34"
"1050","240370","2021","1"
"1051","240375","2021","1"
"1052","240380","2021","1"
"1053","240390","2021","1"
"1054","240400","2021","1"
"1055","240410","2021","2"
"1056","240420","2021","34"
"1057","240430","2021","1"
"1058","240440","2021","1"
"1059","240450","2021","7"
"1060","240460","2021","4"
"1061","240470","2021","6"
"1062","240480","2021","1"
"1063","240485","2021","3"
"1064","240500","2021","2"
"1065","240510","2021","8"
"1066","240520","2021","3"
"1067","240530","2021","10"
"1068","240540","2021","3"
"1069","240550","2021","3"
"1070","240560","2021","1"
"1071","240580","2021","28"
"1072","240590","2021","2"
"1073","240600","2021","1"
"1074","240610","2021","1"
"1075","240615","2021","1"
"1076","240620","2021","5"
"1077","240630","2021","9"
"1078","240640","2021","2"
"1079","240650","2021","8"
"1080","240660","2021","8"
"1081","240670","2021","4"
"1082","240680","2021","4"
"1083","240690","2021","1"
"1084","240710","2021","32"
"1085","240720","2021","12"
"1086","240725","2021","1"
"1087","240750","2021","5"
"1088","240770","2021","14"
"1089","240780","2021","13"
"1090","240790","2021","2"
"1091","240800","2021","64"
"1092","240810","2021","341"
"1093","240820","2021","25"
"1094","240830","2021","18"
"1095","240870","2021","1"
"1096","240880","2021","6"
"1097","240890","2021","7"
"1098","240895","2021","10"
"1099","240910","2021","3"
"1100","240920","2021","4"
"1101","240930","2021","2"
"1102","240933","2021","4"
"1103","240940","2021","4"
"1104","240950","2021","3"
"1105","240960","2021","3"
"1106","240970","2021","2"
"1107","240980","2021","12"
"1108","240990","2021","3"
"1109","241010","2021","8"
"1110","241020","2021","1"
"1111","241025","2021","1"
"1112","241030","2021","8"
"1113","241040","2021","9"
"1114","241050","2021","1"
"1115","241060","2021","1"
"1116","241070","2021","1"
"1117","241080","2021","1"
"1118","241090","2021","5"
"1119","241100","2021","2"
"1120","241105","2021","2"
"1121","241110","2021","3"
"1122","241120","2021","21"
"1123","241140","2021","1"
"1124","241150","2021","11"
"1125","241160","2021","4"
"1126","241170","2021","4"
"1127","241180","2021","3"
"1128","241200","2021","62"
"1129","241210","2021","2"
"1130","241220","2021","35"
"1131","241230","2021","3"
"1132","241240","2021","1"
"1133","241250","2021","7"
"1134","241255","2021","9"
"1135","241260","2021","7"
"1136","241270","2021","5"
"1137","241280","2021","1"
"1138","241290","2021","5"
"1139","241310","2021","5"
"1140","241320","2021","6"
"1141","241330","2021","1"
