"","codigo","ano","nvm_com_cor_da_pele_preta"
"616","220040","2021","18"
"617","220045","2021","6"
"618","220050","2021","37"
"619","220060","2021","7"
"620","220070","2021","3"
"621","220080","2021","2"
"622","220100","2021","9"
"623","220105","2021","1"
"624","220110","2021","1"
"625","220115","2021","16"
"626","220120","2021","16"
"627","220130","2021","2"
"628","220140","2021","9"
"629","220150","2021","2"
"630","220155","2021","2"
"631","220160","2021","4"
"632","220170","2021","6"
"633","220173","2021","5"
"634","220177","2021","1"
"635","220190","2021","19"
"636","220191","2021","1"
"637","220192","2021","2"
"638","220196","2021","2"
"639","220200","2021","5"
"640","220202","2021","2"
"641","220207","2021","3"
"642","220208","2021","4"
"643","220210","2021","4"
"644","220211","2021","8"
"645","220217","2021","4"
"646","220220","2021","2"
"647","220225","2021","3"
"648","220230","2021","17"
"649","220245","2021","2"
"650","220250","2021","4"
"651","220253","2021","1"
"652","220260","2021","5"
"653","220265","2021","1"
"654","220270","2021","4"
"655","220271","2021","1"
"656","220273","2021","1"
"657","220275","2021","7"
"658","220277","2021","1"
"659","220280","2021","2"
"660","220290","2021","18"
"661","220300","2021","4"
"662","220310","2021","10"
"663","220320","2021","1"
"664","220323","2021","6"
"665","220325","2021","1"
"666","220327","2021","1"
"667","220330","2021","7"
"668","220335","2021","1"
"669","220345","2021","3"
"670","220350","2021","4"
"671","220360","2021","8"
"672","220370","2021","9"
"673","220375","2021","2"
"674","220380","2021","4"
"675","220390","2021","146"
"676","220410","2021","12"
"677","220415","2021","2"
"678","220420","2021","1"
"679","220430","2021","3"
"680","220440","2021","9"
"681","220450","2021","13"
"682","220465","2021","4"
"683","220470","2021","5"
"684","220480","2021","2"
"685","220490","2021","13"
"686","220500","2021","1"
"687","220510","2021","18"
"688","220520","2021","9"
"689","220525","2021","3"
"690","220530","2021","7"
"691","220535","2021","1"
"692","220540","2021","8"
"693","220550","2021","15"
"694","220554","2021","1"
"695","220555","2021","7"
"696","220557","2021","1"
"697","220558","2021","1"
"698","220559","2021","1"
"699","220560","2021","8"
"700","220570","2021","4"
"701","220580","2021","8"
"702","220585","2021","3"
"703","220590","2021","4"
"704","220595","2021","1"
"705","220600","2021","8"
"706","220605","2021","1"
"707","220610","2021","1"
"708","220620","2021","14"
"709","220640","2021","1"
"710","220650","2021","1"
"711","220660","2021","9"
"712","220665","2021","2"
"713","220669","2021","1"
"714","220670","2021","10"
"715","220672","2021","9"
"716","220680","2021","6"
"717","220690","2021","1"
"718","220695","2021","3"
"719","220700","2021","11"
"720","220720","2021","6"
"721","220730","2021","2"
"722","220735","2021","3"
"723","220740","2021","5"
"724","220750","2021","15"
"725","220760","2021","5"
"726","220770","2021","32"
"727","220775","2021","3"
"728","220777","2021","1"
"729","220779","2021","1"
"730","220780","2021","22"
"731","220785","2021","3"
"732","220790","2021","16"
"733","220793","2021","3"
"734","220795","2021","5"
"735","220800","2021","16"
"736","220810","2021","3"
"737","220820","2021","2"
"738","220830","2021","4"
"739","220840","2021","6"
"740","220850","2021","6"
"741","220855","2021","14"
"742","220860","2021","1"
"743","220865","2021","9"
"744","220870","2021","18"
"745","220880","2021","23"
"746","220885","2021","2"
"747","220887","2021","9"
"748","220890","2021","1"
"749","220900","2021","6"
"750","220910","2021","3"
"751","220915","2021","1"
"752","220930","2021","2"
"753","220937","2021","3"
"754","220955","2021","1"
"755","220960","2021","2"
"756","220965","2021","2"
"757","220970","2021","10"
"758","220975","2021","2"
"759","220980","2021","3"
"760","220985","2021","2"
"761","220987","2021","1"
"762","220990","2021","3"
"763","220995","2021","1"
"764","220997","2021","1"
"765","221000","2021","48"
"766","221010","2021","7"
"767","221020","2021","1"
"768","221038","2021","1"
"769","221039","2021","2"
"770","221040","2021","4"
"771","221050","2021","19"
"772","221060","2021","20"
"773","221063","2021","4"
"774","221070","2021","2"
"775","221080","2021","3"
"776","221090","2021","6"
"777","221100","2021","530"
"778","221110","2021","29"
"779","221120","2021","10"
"780","221130","2021","3"
"781","221135","2021","5"
"782","221140","2021","1"
"783","221150","2021","2"
"784","230015","2021","6"
"785","230020","2021","4"
"786","230030","2021","9"
"787","230040","2021","6"
"788","230050","2021","4"
"789","230070","2021","2"
"790","230075","2021","2"
"791","230090","2021","2"
"792","230100","2021","5"
"793","230110","2021","44"
"794","230120","2021","1"
"795","230125","2021","2"
"796","230130","2021","1"
"797","230170","2021","11"
"798","230180","2021","2"
"799","230190","2021","36"
"800","230195","2021","2"
"801","230200","2021","4"
"802","230205","2021","2"
"803","230210","2021","1"
"804","230220","2021","8"
"805","230230","2021","6"
"806","230240","2021","3"
"807","230250","2021","1"
"808","230260","2021","6"
"809","230270","2021","6"
"810","230280","2021","6"
"811","230300","2021","2"
"812","230310","2021","10"
"813","230320","2021","20"
"814","230330","2021","1"
"815","230340","2021","3"
"816","230350","2021","2"
"817","230360","2021","2"
"818","230365","2021","2"
"819","230370","2021","64"
"820","230380","2021","4"
"821","230390","2021","3"
"822","230393","2021","1"
"823","230395","2021","1"
"824","230400","2021","12"
"825","230420","2021","7"
"826","230423","2021","3"
"827","230425","2021","5"
"828","230428","2021","4"
"829","230430","2021","2"
"830","230435","2021","12"
"831","230440","2021","250"
"832","230445","2021","13"
"833","230450","2021","4"
"834","230460","2021","1"
"835","230470","2021","4"
"836","230480","2021","1"
"837","230490","2021","1"
"838","230495","2021","12"
"839","230500","2021","9"
"840","230520","2021","2"
"841","230523","2021","22"
"842","230530","2021","1"
"843","230533","2021","1"
"844","230535","2021","8"
"845","230540","2021","1"
"846","230550","2021","15"
"847","230560","2021","5"
"848","230565","2021","1"
"849","230580","2021","7"
"850","230590","2021","1"
"851","230600","2021","7"
"852","230610","2021","4"
"853","230620","2021","2"
"854","230625","2021","7"
"855","230630","2021","2"
"856","230640","2021","9"
"857","230655","2021","10"
"858","230660","2021","5"
"859","230670","2021","3"
"860","230680","2021","2"
"861","230690","2021","1"
"862","230710","2021","13"
"863","230720","2021","2"
"864","230725","2021","7"
"865","230730","2021","198"
"866","230740","2021","11"
"867","230750","2021","1"
"868","230760","2021","3"
"869","230763","2021","1"
"870","230765","2021","143"
"871","230770","2021","43"
"872","230780","2021","12"
"873","230800","2021","15"
"874","230810","2021","6"
"875","230820","2021","3"
"876","230830","2021","10"
"877","230835","2021","1"
"878","230837","2021","1"
"879","230840","2021","20"
"880","230850","2021","5"
"881","230860","2021","2"
"882","230870","2021","2"
"883","230880","2021","4"
"884","230890","2021","4"
"885","230900","2021","1"
"886","230910","2021","2"
"887","230920","2021","2"
"888","230930","2021","1"
"889","230945","2021","3"
"890","230950","2021","4"
"891","230960","2021","7"
"892","230970","2021","47"
"893","230990","2021","1"
"894","231000","2021","1"
"895","231010","2021","3"
"896","231020","2021","4"
"897","231025","2021","4"
"898","231030","2021","8"
"899","231040","2021","1"
"900","231050","2021","3"
"901","231070","2021","7"
"902","231080","2021","1"
"903","231085","2021","3"
"904","231090","2021","1"
"905","231095","2021","6"
"906","231110","2021","2"
"907","231120","2021","1"
"908","231126","2021","2"
"909","231130","2021","2"
"910","231135","2021","1"
"911","231140","2021","17"
"912","231160","2021","11"
"913","231170","2021","4"
"914","231190","2021","6"
"915","231195","2021","3"
"916","231200","2021","11"
"917","231210","2021","4"
"918","231220","2021","5"
"919","231230","2021","13"
"920","231240","2021","7"
"921","231250","2021","1"
"922","231260","2021","4"
"923","231270","2021","4"
"924","231280","2021","3"
"925","231290","2021","145"
"926","231310","2021","1"
"927","231330","2021","21"
"928","231335","2021","2"
"929","231340","2021","22"
"930","231350","2021","10"
"931","231360","2021","8"
"932","231375","2021","2"
"933","231380","2021","2"
"934","231390","2021","2"
"935","231395","2021","2"
"936","231410","2021","2"
"937","240010","2021","2"
"938","240020","2021","19"
"939","240030","2021","2"
"940","240050","2021","1"
"941","240060","2021","1"
"942","240080","2021","3"
"943","240090","2021","2"
"944","240100","2021","4"
"945","240110","2021","3"
"946","240120","2021","4"
"947","240130","2021","1"
"948","240140","2021","2"
"949","240145","2021","5"
"950","240160","2021","1"
"951","240170","2021","6"
"952","240180","2021","2"
"953","240185","2021","2"
"954","240190","2021","2"
"955","240210","2021","1"
"956","240220","2021","7"
"957","240230","2021","7"
"958","240240","2021","1"
"959","240250","2021","1"
"960","240260","2021","78"
"961","240270","2021","1"
"962","240280","2021","1"
"963","240290","2021","3"
"964","240310","2021","10"
"965","240320","2021","1"
"966","240325","2021","161"
"967","240330","2021","1"
"968","240340","2021","2"
"969","240360","2021","26"
"970","240375","2021","2"
"971","240380","2021","1"
"972","240410","2021","1"
"973","240420","2021","6"
"974","240440","2021","3"
"975","240450","2021","8"
"976","240460","2021","10"
"977","240470","2021","4"
"978","240485","2021","4"
"979","240500","2021","1"
"980","240510","2021","2"
"981","240530","2021","2"
"982","240540","2021","1"
"983","240550","2021","1"
"984","240560","2021","2"
"985","240570","2021","2"
"986","240580","2021","8"
"987","240620","2021","4"
"988","240640","2021","1"
"989","240650","2021","7"
"990","240670","2021","2"
"991","240680","2021","3"
"992","240700","2021","6"
"993","240710","2021","50"
"994","240720","2021","11"
"995","240725","2021","1"
"996","240740","2021","3"
"997","240750","2021","5"
"998","240760","2021","2"
"999","240770","2021","3"
"1000","240780","2021","4"
"1001","240800","2021","79"
"1002","240810","2021","443"
"1003","240820","2021","9"
"1004","240830","2021","5"
"1005","240840","2021","1"
"1006","240880","2021","6"
"1007","240890","2021","3"
"1008","240895","2021","2"
"1009","240910","2021","2"
"1010","240920","2021","1"
"1011","240930","2021","2"
"1012","240933","2021","3"
"1013","240940","2021","12"
"1014","240950","2021","4"
"1015","240970","2021","3"
"1016","240980","2021","6"
"1017","240990","2021","3"
"1018","241010","2021","6"
"1019","241020","2021","11"
"1020","241025","2021","2"
"1021","241030","2021","3"
"1022","241040","2021","4"
"1023","241060","2021","1"
"1024","241070","2021","2"
"1025","241100","2021","1"
"1026","241105","2021","3"
"1027","241120","2021","16"
"1028","241142","2021","1"
"1029","241150","2021","1"
"1030","241160","2021","3"
"1031","241170","2021","1"
"1032","241200","2021","33"
"1033","241210","2021","1"
"1034","241220","2021","19"
"1035","241230","2021","4"
"1036","241250","2021","3"
"1037","241255","2021","2"
"1038","241260","2021","4"
"1039","241270","2021","2"
"1040","241290","2021","4"
"1041","241310","2021","2"
"1042","241330","2021","2"
"1043","241335","2021","5"
"1044","241350","2021","1"
"1045","241355","2021","1"
"1046","241370","2021","1"
"1047","241390","2021","6"
"1048","241400","2021","8"
"1049","241420","2021","4"
"1050","241440","2021","21"
"1051","241445","2021","1"
"1052","241460","2021","4"
"1053","241480","2021","3"
"1054","250000","2021","1"
"1055","250020","2021","1"
"1056","250030","2021","25"
"1057","250040","2021","6"
"1058","250053","2021","1"
"1059","250057","2021","1"
"1060","250060","2021","4"
"1061","250090","2021","1"
"1062","250110","2021","2"
"1063","250130","2021","3"
"1064","250135","2021","1"
"1065","250140","2021","1"
"1066","250150","2021","1"
"1067","250153","2021","1"
"1068","250170","2021","1"
"1069","250180","2021","4"
"1070","250205","2021","1"
"1071","250215","2021","3"
"1072","250250","2021","5"
"1073","250260","2021","1"
"1074","250300","2021","10"
"1075","250310","2021","1"
"1076","250320","2021","46"
"1077","250330","2021","2"
"1078","250350","2021","1"
"1079","250355","2021","5"
"1080","250370","2021","5"
"1081","250375","2021","3"
"1082","250380","2021","2"
"1083","250400","2021","54"
"1084","250403","2021","2"
"1085","250420","2021","1"
"1086","250435","2021","1"
"1087","250440","2021","1"
"1088","250460","2021","8"
"1089","250480","2021","12"
"1090","250520","2021","1"
"1091","250523","2021","1"
"1092","250530","2021","1"
"1093","250540","2021","1"
"1094","250570","2021","1"
"1095","250600","2021","3"
"1096","250610","2021","4"
"1097","250625","2021","1"
"1098","250630","2021","2"
"1099","250640","2021","1"
"1100","250670","2021","2"
"1101","250680","2021","7"
"1102","250690","2021","9"
"1103","250700","2021","2"
"1104","250710","2021","2"
"1105","250720","2021","3"
"1106","250730","2021","1"
"1107","250740","2021","1"
"1108","250750","2021","277"
"1109","250760","2021","1"
"1110","250770","2021","1"
"1111","250790","2021","5"
"1112","250800","2021","2"
"1113","250830","2021","4"
"1114","250850","2021","2"
"1115","250860","2021","2"
"1116","250890","2021","5"
"1117","250900","2021","2"
"1118","250910","2021","1"
"1119","250920","2021","1"
"1120","250930","2021","1"
"1121","250933","2021","1"
"1122","250940","2021","5"
"1123","250950","2021","1"
"1124","250970","2021","3"
"1125","250990","2021","3"
"1126","251010","2021","2"
"1127","251020","2021","2"
"1128","251050","2021","1"
"1129","251060","2021","1"
"1130","251070","2021","1"
"1131","251080","2021","9"
"1132","251120","2021","5"
"1133","251130","2021","2"
"1134","251150","2021","10"
"1135","251160","2021","1"
"1136","251170","2021","1"
"1137","251190","2021","5"
"1138","251200","2021","4"
"1139","251210","2021","3"
"1140","251220","2021","1"
"1141","251230","2021","3"
"1142","251240","2021","1"
"1143","251250","2021","5"
